source_platform,app_name,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,Spotify,324684580,us,14079814943,Me,Too much adds,4,2026-05-18 14:20:15-07:00,Maddie67671,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079791973,Great no complaints,^,5,2026-05-18 14:10:59-07:00,teddybear8211,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079791323,Loyal.,Ive had Spotify for over or close to twenty years is there any way i can get a shoutout or a free month please?,5,2026-05-18 14:10:42-07:00,The Barn Yard Bandit,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079784245,Change in experience,"Ever since you integrated AI the weekly discovery and radar no longer hold excitement 

Rather bland selections",2,2026-05-18 14:07:49-07:00,Wack A app,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079783463,For Spotify,The most sic app that I ever seen in my live,5,2026-05-18 14:07:30-07:00,YoussefTawi,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079769303,Me Guasta,Chito,5,2026-05-18 14:01:48-07:00,Chito querendon,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079759924,✨Five Stars✨,"I LOVE SPOTIFY. It’s great. A lil expensive, but GREAT. There are so many awesome podcasts, songs, and creators on it and it’s really just like, my favorite app.",5,2026-05-18 13:58:04-07:00,Abby-c-d-e-f-g,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079759434,App Icon 👎🏻,I hate the disco ball so much. Please change it.,1,2026-05-18 13:57:52-07:00,Eddymac76,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079759042,5 starssss,I LOVE ITTTTT,5,2026-05-18 13:57:42-07:00,Channie_skzlover,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079755606,W,W music no adds and great time happy birthday Elon musk,5,2026-05-18 13:56:20-07:00,Evan Evan Schmidt Schmidt,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079742443,Spotify is awsome,They have so many more songs then Apple Music,5,2026-05-18 13:51:12-07:00,I-loom,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079737906,:3,Thx Spotify for bring joy to my life 🥹🙏🗣️ fr fr,5,2026-05-18 13:49:24-07:00,Bick and dalls,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079731947,Unbearably slow and faulty,Chill with the AI and go back to good basic app functionality,1,2026-05-18 13:47:02-07:00,datorno3,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079727948,Feo logo,Feo logo,5,2026-05-18 13:45:31-07:00,La salvación 😂,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079726788,شكراً,تطبيقكم احلا من يوتيوب ميوزك,5,2026-05-18 13:45:04-07:00,hhfhehe,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079725221,So good,It’s been years I’ve been using Spotify and since then I haven’t had any problems with it honestly it the best app ever. I recommend this app to everyone who loves listening to music and podcasts. The only issue I have is it really doesn’t work when there’s no Wi-Fi and it’s offline.,5,2026-05-18 13:44:27-07:00,23145678908,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079723718,New Logo 👎,The new logo sucks,1,2026-05-18 13:43:51-07:00,King_Marduk,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079715560,Best Streaming Music App,I listen too many different genres of music daily and Spotify more than delivers,5,2026-05-18 13:40:41-07:00,Sculptty,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079708450,I Don’t Support Murdering Innocent Children!!!,"Cancelled my premium subscription because I refuse to give my money to people who support and fund murdering children. Recommend everyone do the same, or the blood is on your hands as well. How much is listening to music worth to you? Enough to kill an innocent child? I question anyone’s morality who is okay with this, and pray for you.",1,2026-05-18 13:37:57-07:00,Urmom666witch,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079699960,Icon,Fix the app icon looks horrible. No one wants that on there phone.,1,2026-05-18 13:34:44-07:00,Joshbob777,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079697903,I deleted Apple Music for this,Love how it can take my taste in music and make its on mix or suggestions.,5,2026-05-18 13:33:56-07:00,Marvel Nerdboi,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079697446,AMAZING,amazing app. it has clean versions and its awesome. i literally play Spotify every day.,5,2026-05-18 13:33:47-07:00,lanie5678,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079693299,HIGHLY RECOMMEND,Survey,5,2026-05-18 13:32:12-07:00,Drake Rollans,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079693193,Change the logo,Just looks bad,1,2026-05-18 13:32:09-07:00,aquinas04,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079693026,Please give me premium,Spotify very good and jolly can I get premium tho,5,2026-05-18 13:32:05-07:00,FireSword1111,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079686403,!,Pésimo para entrar a ver 20 years in Spotify tarda mucho!,1,2026-05-18 13:29:33-07:00,Anónimo6777,2026-05-20T03:33:37.122772+00:00
Apple App Store,Spotify,324684580,us,14079674838,Stop Playing Recommended Tracks,"The ONLY reason I switched to Spotify premium was so that I could actually listen to the music in my custom playlists without being forced to listen to music that is outside my playlist. Unfortunately I was wrong, and I am still forced to listen to music outside my playlist without being Spotify premium. What a waste of money.",1,2026-05-18 13:25:05-07:00,Costro68.5,2026-05-20T03:33:37.122772+00:00
