source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14079831512,I ❤️Duolingo,This is the best!!!!!,5,2026-05-18 14:27:01-07:00,Sleepy 84,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079831057,It’s a good education but is frustrating,Hi this app is very good for learning a new thing like a language or mosaic math chess  but it is frustrating has bad translation and can run out of energy quickly so please fix that thank you,3,2026-05-18 14:26:50-07:00,QLuvon,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079818735,"Good for getting used to the language, but","It doesn’t go over all of it: it goes over speaking, recognizing the words, speaking, but doesn’t really go over writing or typing. I do enjoy doing this every day but not having super duo has limited my ability to do as much as I could. Learning a language is never easy though. Probably would have to use other platforms. I am using a notebook for learning this language.",4,2026-05-18 14:21:48-07:00,iejfiowjefoijfoijwrfoijwrf,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079813955,Love it!,Very helpful and easy to learn with!,5,2026-05-18 14:19:51-07:00,Bookeral,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079810426,CHANGE IT. NOW.,Apparently my dads username keeps changing. Please tell duo about it.,1,2026-05-18 14:18:25-07:00,meepster :3,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079809637,Great with one concern,"I have the free edition, so I have to have energy to play. I noticed after an update that I predominantly get +1 energy after 5 and 10 question streaks. It wasn’t always like this. If this is new, Duolingo needs to tell me that I don’t have enough energy for this lesson. I’ve ran out with 12 and 13 energy because I only get +1.",4,2026-05-18 14:18:06-07:00,steven reynolds,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079792924,Worse and worse,Subscriber for over a decade. Each update is less about learning a language and more about streaks and chests and so so many animations. Finally have to let this app go and cancel my subscription.,3,2026-05-18 14:11:21-07:00,Hnuman104,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079792223,Fun,I think duo is a great way to learn and great community to learn in sometimes it’s difficult but it’s really great to learn.,5,2026-05-18 14:11:05-07:00,Duo the big bird,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079787064,I hate Duolingo.,"I learned NO-THING, and Duolingo is so freaking cringy & clingy when I miss just 100 days or a year of Duolingo. PLUS ONLY 3 LIVES, like heLLO? JUST ANOTHER DUMB CASH GRAB GAME THAT GET IT’S MONEY FROM BEGINNERS TO THE LANGUAGE BUYING MORE LIVES. DONT waste your time on this, I will never come back to that god foresaken bird.",1,2026-05-18 14:08:58-07:00,𝓘 𝓱𝓪𝓽𝓮 𝓭𝓾𝓸,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079763672,Energy System is Horrible,"This app has hit a new low. I’ve been using it since 2016 and never would I have imagined it be in this greedy money hungry state. The energy system update is ridiculous, you can barely even progress through lessons without having to use “energy” which you either pay for through the super Duolingo subscription or ads. It’s also annoying how we are bombarded with ads after every lesson on top of that. This app has and had so much potential. Please listen to the customers and fix it",2,2026-05-18 13:59:34-07:00,Zororion,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079728016,Free and simple,"If you want to learn a language free of charge, choose duo. Ads are short and lessons are intuitive.",5,2026-05-18 13:45:33-07:00,menot_u,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079724993,I love it soooooooo much,It is so good it is good for learning I am learning Japanese but you can learn everything if you want I am 7 but I recommended. This app by have a great. Day,5,2026-05-18 13:44:22-07:00,Harper Cloutier,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079716857,Greedy,Annoying!!! With updates the energy points last less and less. They let you start a lesson and then cut you off — pay up or lose progress. Shame,2,2026-05-18 13:41:11-07:00,Don'tWantToType,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079674215,Chess review,I love the chess mode on here perfected,5,2026-05-18 13:24:51-07:00,Char1i3-4,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079674172,:D,Actually really good! My friend forced me to get it and now I’m scared duo will hunt me down if I break my streak,5,2026-05-18 13:24:50-07:00,Spaghetti is funny,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079673238,Broken screen case,When I was play chess Duolingo Oscar told me to break my phone case and then when it did it kicked me out and did some weird stuff,1,2026-05-18 13:24:29-07:00,RuffusDafluffy,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079659823,It sucks,It just sucks don’t mind my rating,5,2026-05-18 13:19:21-07:00,Jonhhy censored,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079651370,Duolingo,Duolingo is SO good for learning new languages and you can learn more than just languages! My grandmother speaks Italian so I want to surprise her with my speaking. Duolingo is a great app to learn . Plus I’ve ALWAYS wanted to be bilingual! I LOVE DUOLINGO!💚,5,2026-05-18 13:16:09-07:00,Lilly6879,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079642519,Microphone problem,My mic isnt picking up anything i say EVER,2,2026-05-18 13:12:49-07:00,Chicken flipper,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079623473,"Love it, just one request tho","I love this app. I’ve been using it for years to learn Spanish. The lessons are clear and informative. 

I just don’t like how the app is trying to become one big game nowadays. Between streaks, leagues, quests, etc- I find that there are too many distractions that pop up, when all I want to do is move on to the next lesson. I feel like it’s wasting my time.
I like to learn multiple times a week, but not every single day. When a new streak starts, then gets lost, again and again, it frustrates me. I don’t care for a streak, I just want to learn. 

I’d love if there could be a setting where you can decide if you want game style vs. focused work. 
Please can you do that for us focused learners? 
Thank you! :)",4,2026-05-18 13:05:40-07:00,sarkym72,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079623438,Duolingo,The Duolingo chess is really fun for me. I loved it because you get to play against other people and win double/triple xp,5,2026-05-18 13:05:39-07:00,"Dingus,dorkus,dummy,Dylan",2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079617580,Sigma,"Duolingo is so SIGMA!!! I have been learning SPANISH, what is kinda hard, but Duolingo makes it FUNN. So ya, It’s so baddie so try it out rn.",5,2026-05-18 13:03:28-07:00,natnun67,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079612879,Ehh,"Duolingo is mid. My friends used to tell me that Duo will find your ip address, and I wish that bro would stop TELLING ME TO DO MY LESSONS",3,2026-05-18 13:01:42-07:00,Gamer727fl,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079606590,Excelente,Súper excepto cuando pierdes tu racha,5,2026-05-18 12:59:24-07:00,Britney. Ale,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079603811,You ruined this app!!,"The changes they made do not help with continued learning. I have used this app for a few years, but now it is different. The update they implemented for the free version—limiting users to just 25 points per lesson—hinders the learning process, as those points are almost entirely consumed by the time you finish a single lesson. You then have to replenish them via the ""free chest,"" which consists of nothing but ads—ad after ad after ad. Each ad grants you 5 points, meaning you have to watch 5 separate commercials, which is time-consuming. Furthermore, upon completing a lesson, they repeatedly push for the purchase of Super Duolingo—which seems to be their sole objective now—over and over again. It has become difficult to keep learning, and quite annoying. I don't think they will ever revert this new update regarding the 25-point-per-lesson limit. They ruined this app.",1,2026-05-18 12:58:22-07:00,Picolandia,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079515705,Love it,I am getting good thank you,5,2026-05-18 12:26:03-07:00,vhdave,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079506021,How?,How did Duolingo started?,5,2026-05-18 12:22:31-07:00,Rojhamson,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079495172,Former language teacher,"I have taught Latin, German and French in middle school, in high school and in college; I have also studied Russian, Japanese, Arabic and Italian in college and on my own with Duolingo and I am a big fan of the app. Best value for all learners at beginners’ and intermediate level.",5,2026-05-18 12:18:32-07:00,Marie-Joele,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079464821,Stupidly hard,I was trying to get through a 13 level flash card challenge but ended up failing and i got so disappointed because I tried for an hour but ended up with a sore throat and a dry mouth,1,2026-05-18 12:07:44-07:00,Bunny hopps,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079460698,Needs better ethics,"I want to like it but, ""I value explicit, honest connection. I want to engage with things because they have intrinsic value, not because I am being managed or manipulated. The covert narcissism of you miss a day was the just not what I want it my life.",1,2026-05-18 12:06:14-07:00,SolarFlaire15,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079419861,I love Duolingo but…,I feel like super Duolingo shouldn’t be 100 dollars a month it should at least be 10-20,5,2026-05-18 11:51:46-07:00,Bailey🍵😶‍🌫️🌀😞,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079400415,Thai Course..?,"Dear Duolingo
I’m trying to learn Thai, and this is the most reliable language learning app. Could you please add a Thai learning course? That would be so helpful!! Thank you!!",4,2026-05-18 11:44:48-07:00,xL0VSTAYGEne,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079399759,Ai names,These ai names are getting crazy like what is I can’t even say it,5,2026-05-18 11:44:35-07:00,Duooooooooooooooooooooooooooo,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079398908,I hate the energy system,"Tell me why I just did two lessons (perfectly) and every 5 questions I only got back ONE energy. I hate the random element of this. Why should my learning be dependent on an algorithm determining how many ads I have to watch to have enough energy to do just three lessons? Even when doing lessons perfectly, it is impossible to do three lessons without having to watch ads to get energy in addition to the ads they make you watch after each lesson. Now imagine when you make mistakes and you STILL only get back one energy.

Yes, I understand that this is an evil corporation that just wants me to buy a subscription, but I have a >2000 day streak going so I’m trapped.",1,2026-05-18 11:44:17-07:00,Happhopp,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079395763,Can be annoying,"Sometimes when Duolingo updates or adds new sections, it’ll complete sections or move around sections that you’ve never done. So say I’m on unit 2 section 7, and it reshuffles the units, units that used to be after that are now before will be completed. So moving forward, it thinks you’ve already learned those sections, and you didn’t. So it’s as if you skipped several sections and units, which makes moving forward a lot harder because it’ll have a bunch of vocab that you’ve never learned.",3,2026-05-18 11:43:11-07:00,ShadowX990,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079346618,T,This section did not allow retry in last block,4,2026-05-18 11:25:50-07:00,ray 262,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079323920,Awesome,Awesome!,5,2026-05-18 11:17:48-07:00,Apatt1,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079303908,"Fun lessons, poor reminders","The lessons are quite fun and paced in a manner that keeps you engaged. I have two disappointments on the reminders: first, I did do the The trial and was supposed to be reminded expired, but was not. Second, I’m getting daily reminders to do the but they’re showing up at six and 8 AM which is really annoying. It would make sense if it was later in the day and I was at risk of not participating, but I’ve barely had my coffee when it’s nagging me that I should be doing my lesson.",3,2026-05-18 11:10:47-07:00,Anti nagging,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079281320,I’m scared,I got so many emails from forgetting to do it,5,2026-05-18 11:02:56-07:00,Etan11444,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079276773,Lacking,"There is no pronunciation or speech practice which essentially what language is, with that missing this can only ever be supplemental should you actually want to learn a language.",3,2026-05-18 11:01:21-07:00,Kgreav65,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079274673,Learn!!,I have been learning so much on Duolingo! I’d definitely recommend this for people who don’t know another language!,5,2026-05-18 11:00:41-07:00,Happy Mr Gary,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14079223405,Duolingo,This app is really good for kids that wanna learn different languages. It’s really fast. It helps you with any language It’s a really good app for kids for grown-ups. It’s perfect. It’s a perfect app for anybody. And maybe you should try to it’s a really fun app for you and for your friends try and get the game. It’s really fun.,5,2026-05-18 10:42:54-07:00,Dearianah,2026-05-20T03:14:33.977405+00:00
