source_platform,app_name,app_id,country,language,review_id,review_text,rating,review_date,app_version,thumbs_up_count,developer_response,collected_at
Google Play,Spotify,com.spotify.music,us,en,b269766c-57db-490b-98ab-6ec60a0cd409,premium for every thing .,1,2026-05-18 23:37:00,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,f3b8295a-84ed-49bf-82fb-d8b4553e49cf,Best experience so far! I use it every day.,5,2026-05-18 23:34:56,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,3b72d645-aa0a-4802-9788-6f66a5accdd0,music is Life,5,2026-05-18 23:34:40,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,3cad3261-c745-4388-aab9-fc051a692543,"Ad's, lots of ad's, even in paid for version. completely inappropriate to have ad's in a paid app.",1,2026-05-18 23:34:04,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,0b97836f-78e8-44dd-8166-bf12e89d03e5,my Spotify is not opening...I have interest in my phone but still it's not opening....please fix it,1,2026-05-18 23:32:59,9.1.44.2120,0,"Hey there, we’d love to get some more info about this. We’d recommend getting in touch with our Customer Service by heading to http://support.spotify.com and searching ""Contact us"". They'll be able to check this for you.",2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,828fc11d-2756-4cc8-b2c1-d9b5f2266b04,"has a wide variety of songs but I swear there is a ad after almost every song, and there's like three of them if just one wasn't annoying enough.other than that it's pretty good. You either love it, question it, or hate it.",3,2026-05-18 23:31:41,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,63ecdd3d-99ee-44fa-a19a-95feafd4b0b9,this is the best app for songs I love this app👍👍♥️♥️,5,2026-05-18 23:29:53,,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,70c97bd0-2f4c-447c-bae7-13767590b9e3,it is very useful app for music lovers,4,2026-05-18 23:29:23,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,ad47781b-b3fd-49cb-a578-4da042a27d64,good entertainment,5,2026-05-18 23:22:38,,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,c4995456-ba0a-4ce4-a756-3b58000628eb,"Genuinely the most unreliable, buggy, vibe-coded POS app. Will work fine for weeks and months on end and then one day just randomly decide ""no music for you (LOL, LMAO)"" AND DECIDE THAT I HAVE NO INTERNET ON A GIGABIT INTERNET CONNECTION. This happens ACROSS DEVICES, SIMULTANEOUSLY. It doesnt MATTER what I do nothing FIXES it until it just equally randomly decides that everything is fine again after an indeterminate amount of time. This is an UNACCEPTABLE user experience for a PAID service.",2,2026-05-18 23:21:27,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,e03a8506-f5e0-45a3-af4f-f63a3584aa5a,staying with the integration trend. dope,5,2026-05-18 23:20:54,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,6a598cfc-6495-4656-910f-d5634e64802b,worst app do not work,1,2026-05-18 23:19:35,9.1.44.2120,0,,2026-05-20T03:42:15.807927+00:00
Google Play,Spotify,com.spotify.music,us,en,551193c8-954a-4109-88c0-382438e199a8,"amazing since they fixed a glitch that made me not able to coose a profile photo, however, I have experienced times where it simply says I have internet problems, I dont, and yet it won't load something properly, but luckily, it seems most of the time its fixed by restarting my phone, as well as time to time it just stops happening,",3,2026-05-18 23:18:01,9.1.44.2120,1,,2026-05-20T03:42:15.807927+00:00
