source_platform,app_id,review_id,review_text,rating,review_date,app_version,thumbs_up_count,developer_response,collected_at
Google Play,com.duolingo,77c5bdb4-ba4d-4f13-b096-065534191ac0,good,5,2026-05-18 23:10:50,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,14fc0306-259f-43cc-9606-be6d7cb8349e,because it have fun and lovely game.,5,2026-05-18 23:09:56,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,e48ffa83-77e6-4a26-bcbf-245e32937ea2,it's good for beginners wanting to improve their vocabulary but after doing it for a year I realized my conversational skills hadn't increased at all. I'm switching to babbel,2,2026-05-18 23:09:45,6.42.6,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,09f0767e-6e7d-4b38-9802-a8274b6fec27,"Estaba revisando el perfil de mi amigo, toqué sin querer el botón de dejar de seguir y la app lo procesó al instante, sin preguntar. Perdimos nuestra racha de inmediato y me dio mucha pena, al punto de perder la motivación para seguir usando la app :(. Por favor, agreguen un botón de confirmación para evitar estos accidentes. Soporte, si leen esto ayuden a esta pobre alma a recuperar su racha con su amigo, por favor :((( le pongo dos estrellas porque me dio mucha pena",2,2026-05-18 23:05:56,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,61cbbc7e-70fc-4b70-b354-38598e2bb8ff,very nice,5,2026-05-18 23:04:52,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,166bf1bb-b2c9-40a6-bbbd-f5270a7ade52,Classic,5,2026-05-18 23:04:52,6.78.4,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,b16f72d3-3bf4-45ce-bb9a-165f84b95bd3,it's good for those of us on a budget. I look forward to my daily lessons. 😊,4,2026-05-18 23:00:08,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,0b0c3857-26d9-4895-a735-d8c18a7e38be,This app is very useful to learn different languages and a game like we learning the languages,5,2026-05-18 23:00:06,,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,0a153b88-ccb4-4a0d-9916-75bb89121747,baping,5,2026-05-18 22:55:50,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,9f8671a0-1c86-4b1d-a808-3272e7b74f26,totally nice I like it.,5,2026-05-18 22:53:19,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,1fbeeb10-0afd-47b1-8a84-a91bd25f26f2,I learned really well for music!5 stars!,5,2026-05-18 22:52:37,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,89a04d2e-face-4c13-aef2-e981901fb4cc,it's make me fun and I'm so happy to learn with Duolingo.,5,2026-05-18 22:49:43,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,20854a20-ff01-49dc-baec-aea46546e56b,👍,5,2026-05-18 22:49:29,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,2fd91db7-d116-4c4a-9f25-d4dc1eaafb5b,perfect app,5,2026-05-18 22:48:09,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,42893442-a517-475a-b5cd-75c3ffb485a5,seru banget aku jadi bisa hapal bahasa Inggris,5,2026-05-18 22:46:43,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,8dad1d20-cdbc-4866-b28b-b01670b815aa,apur,5,2026-05-18 22:45:14,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,8041e672-bb8e-4be7-a42c-101551cff342,its going to be so helpful if I go to Japan I will understand what people are saying and I can communicate,5,2026-05-18 22:44:11,6.78.4,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,5063a96d-32fb-4885-9cf0-77354f0eb425,"Wish there were more in depth grammar explanations for the various languages. Took 2 years Spanish in high school and refreshed through this ap a few years ago, but switching to Norwegian and not having a layout of grammar isn't helpful to me. Would also like to have numbers in the beginning of the intro to languages before jumping straight into having to guess the words",3,2026-05-18 22:43:29,,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,83abd790-ad2d-4f2d-99a7-54a0e3249cf4,I'm learning a lot,5,2026-05-18 22:43:14,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,edba96b3-d747-4851-a367-23e653c8a16a,good,5,2026-05-18 22:42:26,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,140e13dc-b275-4069-9aa6-f9e884e186dc,Duolingo is the best app of language learning! It's known for it's lessons and it's making my studies easy since I was in the 4th class,5,2026-05-18 22:41:50,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,95a261bd-b40a-443f-994a-3fd7de8a1fa2,this app is so much fun and reminds me to study every day,5,2026-05-18 22:41:42,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,d1520478-b875-4477-8c15-6cff38c70cd0,very good,5,2026-05-18 22:40:45,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,a89875d7-60e9-4319-b6ba-92aead3bd7f9,great English learing fun to learn and just like a game,5,2026-05-18 22:40:02,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,c7918401-8d32-4da9-aabc-5c0e39fb0c3b,app is very useful 😁,5,2026-05-18 22:37:17,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,ac6de4c0-e2e2-437f-b5b4-df66337dc7f4,very good app,5,2026-05-18 22:36:39,,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,78f704c5-c90c-4e06-993c-d00bc2002800,I like duolingo,5,2026-05-18 22:34:30,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,671f0848-52ac-4094-b259-248aef157e21,I love this,5,2026-05-18 22:32:58,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,08271c1b-82cf-4ac2-b7cb-9f856ab94a6b,it's nice to learn any language,5,2026-05-18 22:31:27,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,184db27a-ed8b-4aee-83f1-a1b3bf679ab9,best app for new language learners.,4,2026-05-18 22:31:08,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,8c834bad-7c07-4ac5-8328-b26f2399a0e0,Duolingo ignores glitches that I report.,1,2026-05-18 22:30:15,6.79.5,2,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,b1fd7499-8cac-49e3-85e8-8bbcb76dc96b,just love it,5,2026-05-18 22:29:28,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,343497f4-91cc-4c48-b5bd-ad6a27c8be4d,very good,3,2026-05-18 22:29:08,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,5412de19-1944-4868-a490-acc349e1c415,ok naman pero bitin yung isang lingi lang dapat libre nalang himdi yung yung isang lingo lang,4,2026-05-18 22:28:55,6.79.5,0,,2026-05-20T03:11:02.643813+00:00
Google Play,com.duolingo,a6cd7c09-f75e-4c59-ab7e-6c65f1186ed9,good 👍 for learning so many languages,5,2026-05-18 22:28:55,,0,,2026-05-20T03:11:02.643813+00:00
